N° OP;Descrição do Item;Empresa;Data de Lançamento da OP;N° Pedido de Venda;N° Nota Fiscal;Situação da Garantia
8851;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7278;NF 45348;Fora de Garantia
8851;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7278;NF 45349;Fora de Garantia
8852;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7276;NF 45346;Fora de Garantia
8852;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7277;NF 45347;Fora de Garantia
8853;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7273;NF 45327;Fora de Garantia
8853;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7274;NF 45328;Fora de Garantia
8854;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7275;NF 45329;Fora de Garantia
8854;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7276;NF 45346;Fora de Garantia
8855;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7510;NF 45673;Fora de Garantia
8856;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7277;NF 45347;Fora de Garantia
8856;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7279;NF 45330;Fora de Garantia
8857;SPT 44T6R 1700A IX/CI - 2102;Traydus Climatizacao Industria e Comercio Ltda;08/01/2024;7242;NF 45363;Fora de Garantia
8858;VCR 506EZ905 4/STD/AP/W12/CE - 2106 (Padrao Racks);Racks Refrigeracao Ltda;08/01/2024;7271;NF 45284;Fora de Garantia
8859;FCR 034AE801 H/2/STD;Irmaos Rios Servicos Ltda;08/01/2024;7289;NF 45300;Fora de Garantia
8860;FCR 066AF802 H/2/STD;Irmaos Rios Servicos Ltda;08/01/2024;7289;NF 45300;Fora de Garantia
